Fid,Line,E_Nad83,N_Nad83,Lon,Lat,Alt,Height,DEM,Date,Time,Base_Mag,Diurnal,Mag_Filt,Mag_Raw,TMI,RMF,igrf,inc,dec
833432.1,106701,692118.437970087,447400.62937106,-87.8356985370347,44.4794125910547,279.170380433386,39.1926827137123,239.977697719674,2021/01/27,15:30:32,-9999.99,-6.3907905739509,54809.9383892949,54809.9395075823,54816.3291798689,349.928767040998,54466.4004128279,70.8626638379967,-4.38995809784751
833452.1,106701,691709.327656559,447573.592058842,-87.8407818360152,44.4810659642991,288.070876957371,46.7377392002583,241.333137757112,2021/01/27,15:30:52,-9999.99,-6.4090233400369,54777.4292014681,54777.4482350686,54783.8382248081,316.775827077799,54467.0623977303,70.8640936919336,-4.38615145973686
833472.1,106701,691286.402630204,447748.254219369,-87.8460384670015,44.4827376809142,289.540094134223,49.6615595922446,239.878534541978,2021/01/27,15:31:12,-9999.99,-6.57275669708842,54751.0166550642,54750.9916,54757.5894117613,289.642042057443,54467.9473697039,70.8655506133111,-4.38221479923996
833492.1,106701,690877.316148367,447928.082958797,-87.85111979303,44.4844523682288,274.713254724902,36.0938628838005,238.619391841102,2021/01/27,15:31:32,-9999.99,-6.48182060034632,54761.695504644,54761.7306,54768.1773252444,298.878605974438,54469.2987192699,70.8670440213622,-4.3784394408463
833512.1,106701,690446.296403667,448072.486878466,-87.8564887393381,44.4858533133922,279.247022945088,41.3675964365285,237.87942650856,2021/01/27,15:31:52,-9999.99,-6.37376680369753,54792.2887534109,54792.1677699435,54798.6625202146,328.673376147548,54469.9891440671,70.8683053797132,-4.37436367550995
833532.1,106701,690056.214863227,448254.981271702,-87.8613309348194,44.4875870531768,275.355006487048,37.3455243508209,238.009482136227,2021/01/27,15:32:12,-9999.99,-6.49770552913235,54850.8607371251,54850.6692961603,54857.3584426542,386.327108910926,54471.0313337433,70.8697920138331,-4.37077344454177
833552.1,106701,689672.967200657,448411.369671237,-87.8660961026054,44.4890841251822,270.820142454454,32.9818472957497,237.838295158704,2021/01/27,15:32:32,-9999.99,-6.70329770492221,54865.2350540071,54865.2007,54871.9383517121,399.94917901088,54471.9891727012,70.8711028663115,-4.3672053612138
833572.1,106701,689261.708682194,448578.912213281,-87.8712099160712,44.4906879159661,271.285681904732,33.2980085898514,237.987673314881,2021/01/27,15:32:52,-9999.99,-6.88519411786246,54897.8068303234,54897.8993,54904.6920244413,431.825699053348,54472.8663253879,70.8725027960634,-4.36337090918396
833592.1,106701,688859.801395674,448731.648848973,-87.8762113208499,44.4921560943834,273.93741711961,36.1565863596373,237.780830759972,2021/01/27,15:33:12,-9999.99,-6.92169623011641,54915.0051233532,54915.0211821837,54921.9268195834,448.306278819327,54473.620540764,70.8737966327323,-4.3596016620846
833612.1,106701,688486.346524376,448890.496815226,-87.8808533736381,44.4936724015221,286.761592166369,47.9170074088785,238.844584757491,2021/01/27,15:33:32,-9999.99,-6.83858308415828,54904.5524520028,54904.563313065,54911.3910350869,437.296831801257,54474.0942032857,70.8751005446202,-4.35612011687234
833632.1,106701,688134.85874987,449051.686961378,-87.8852187985992,44.4952044814186,280.489813837177,40.0023108122614,240.487503024916,2021/01/27,15:33:52,-9999.99,-6.77402015160597,54898.2567496375,54898.2746,54905.0307697891,429.933675261251,54475.0970945278,70.8764190528547,-4.35287901111695
833652.1,106701,687759.368744557,449201.865200976,-87.8898897329513,44.4966429052631,290.919481283841,54.3266844919183,236.592796791923,2021/01/27,15:34:12,-9999.99,-6.80902392831101,54903.8582653659,54903.8729,54910.6672892942,435.061184917264,54475.606104377,70.8776689019242,-4.3493626338261
833672.1,106701,687423.141530153,449389.133190976,-87.8940553516831,44.4984057219718,283.504656266531,43.16320747475,240.341448791781,2021/01/27,15:34:32,-9999.99,-6.8956254110201,54926.9391549343,54926.9102649681,54933.8347803454,457.106540718945,54476.7282396264,70.8791469783794,-4.34632115363444
833773.1,106801,687455.572219142,448438.453888779,-87.8939556804109,44.4898452865419,273.283361569399,34.1324035984206,239.150957970978,2021/01/27,15:36:13,-9999.99,-6.75806921024627,54898.3955142142,54898.2907069011,54905.1535834245,431.714947796288,54473.4386356282,70.8729121705477,-4.34497011024287
833793.1,106801,687862.776330829,448278.540769455,-87.8888897562643,44.4883120853196,270.504687584321,33.9583357088819,236.546351875439,2021/01/27,15:36:33,-9999.99,-6.66505806293373,54868.9287899846,54869.042801601,54875.5938480475,402.935080957017,54472.6587670905,70.871569266117,-4.34878113355293
833813.1,106801,688154.908116329,448327.2309032,-87.8852024419278,44.4886821802138,266.237551301072,26.7603229277616,239.47722837331,2021/01/27,15:36:53,-9999.99,-6.62754316265599,54862.0687628757,54861.941043581,54868.6963060384,395.922287257454,54472.7740187809,70.8716765808399,-4.35180667772216
833833.1,106801,688354.866230752,447993.543976665,-87.882798023165,44.4856335589813,278.792799331349,39.4606319914035,239.332167339946,2021/01/27,15:37:13,-9999.99,-6.65108581662276,54827.6117222248,54827.5463,54834.2628080414,363.216319203842,54471.0464888376,70.8693357901263,-4.35321324445148
833853.1,106801,688745.641592289,447854.480992191,-87.8779324262574,44.4842912913761,276.920552155446,34.7090015550155,242.21155060043,2021/01/27,15:37:33,-9999.99,-6.69416605393534,54834.0309417909,54835.7976850169,54840.7251078448,370.396152671223,54470.3289551736,70.8681395468802,-4.35689407071767
833873.1,106801,689196.710257251,447731.639431706,-87.8723040692954,44.4830806385378,281.303268296341,40.1489998055373,241.154268490804,2021/01/27,15:37:53,-9999.99,-6.71339194015873,54807.6215006823,54807.5836,54814.3348926225,344.876856255869,54469.4580363666,70.8669992448028,-4.36120361917847
